pincode,City,DistrictsName,State
110071,New Delhi,South West,Delhi
121007,Faridabad,Faridabad,Haryana
131033,Sonepat,Sonepat,Haryana
140124,Rupnagar,Rupnagar,Punjab
141418,Ludhiana,Ludhiana,Punjab
142021,Ludhiana,Ludhiana,Punjab
142039,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
144630,Kapurthala,Kapurthala,Punjab
160009,Chandigarh,Chandigarh,Chandigarh
193105,Baramulla,Baramulla,Jammu & Kashmir
194106,Leh,Leh,Jammu & Kashmir
202133,Aligarh,Aligarh,Uttar Pradesh
203205,Bulandshahr,Bulandshahr,Uttar Pradesh
205151,Sirsaganj,Mainpuri,Uttar Pradesh
210428,Hamirpur,Hamirpur,Uttar Pradesh
212214,Allahabad,Allahabad,Uttar Pradesh
229208,Raibareilly,Raibareilly,Uttar Pradesh
241126,Hardoi,Hardoi,Uttar Pradesh
263145,Pant Nagar,Nainital,Uttaranchal
271864,Bahraich,Bahraich,Uttar Pradesh
274202,Gauri Bazar,Deoria,Uttar Pradesh
276129,Azamgarh,Azamgarh,Uttar Pradesh
301035,Alwar,Alwar,Rajasthan
304026,Tonk,Tonk,Rajasthan
313014,Udaipur,Udaipur,Rajasthan
313205,Udaipur,Udaipur,Rajasthan
321607,Alwar,Alwar,Rajasthan
322211,Swaimadhopur,Swaimadhopur,Rajasthan
333032,JhunJhunu,JhunJhunu,Rajasthan
333046,JhunJhunu,JhunJhunu,Rajasthan
364210,Bhavnagar,Bhavnagar,Gujarat
382352,Ahmedabad,Ahmedabad,Gujarat
383315,Himatnagar,Sabarkantha,Gujarat
384153,Mahesana,Mahesana,Gujarat
400075,Mumbai,Mumbai,Maharashtra
400703,Thane,Thane,Maharashtra
403501,Panaji,North Goa,Goa
412211,Pune,Pune,Maharashtra
413554,Osmanabad,Osmanabad,Maharashtra
451222,Khargone,West Nimar,Madhya Pradesh
455336,Khategaon,Dewas,Madhya Pradesh
471105,Chhatarpur,Chhatarpur,Madhya Pradesh
483331,Katni,Katni,Madhya Pradesh
495012,Bilaspur,Bilaspur,Himachal Pradesh
496227,Raigarh,Raigarh,Chhattisgarh
497229,Surajpur,Surguja,Chhattisgarh
500253,Hyderabad,Hyderabad,Andhra Pradesh
501527,Ranga Reddy,Ranga Reddy,Andhra Pradesh
505408,Karimnagar,Karimnagar,Andhra Pradesh
507106,Khammam,Khammam,Andhra Pradesh
507206,Khammam,Khammam,Andhra Pradesh
517114,Chittoor,Chittoor,Andhra Pradesh
518382,Kurnool,Kurnool,Andhra Pradesh
522318,Guntur,Guntur,Andhra Pradesh
524305,Nellore,Nellore,Andhra Pradesh
531036,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
563113,Kolar,Kolar,Karnataka
572143,Hiriyur,Tumkur,Karnataka
576112,Mangalore,Dak. Kannada,Karnataka
576116,Mangalore,Dak. Kannada,Karnataka
576272,Mangalore,Dak. Kannada,Karnataka
577511,Hiriyur,Chitradurga,Karnataka
577541,Chitradurga,Chitradurga,Karnataka
580007,Dharwar,Dharwar,Karnataka
581138,Dharwar,Dharwar,Karnataka
581346,Karwar,Uttar Kannada,Karnataka
581373,Karwar,Uttar Kannada,Karnataka
585370,Gulbarga,Gulbarga,Karnataka
600087,Chennai,Chennai,Tamil Nadu
603401,Kancheepuram,Kancheepuram,Tamil Nadu
605006,Pondicherry,Pondicherry,Pondicherry
613009,Thanjavur,Thanjavur,Tamil Nadu
614720,Thanjavur,Thanjavur,Tamil Nadu
614737,Thanjavur,Thanjavur,Tamil Nadu
