productsku,sales_0,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,sales_7,sales_8,sales_9,sales_10,sales_11,avgSales,stddevSales,totalPLPViewsProductLevel,totalPLPClicksProductLevel,totalPDPCountProductLevel,totalATCProductLevel,totalReturns,totalUsers,totalAvailableQuantity,yQuantity,brandname,pricebucket
469342247004,23.0,1.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416666666666667,9.912878064172457,74005.0,3284.0,4730.0,269.0,8.0,23.0,6.0,24,allen-solly,3.0
441103232016,2.0,8.0,75.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,5.0,5.0,8.583333333333334,21.05170402661605,2571.0,418.0,610.0,15.0,0.0,2.0,0.0,24,netplay,1.0
469034505002,90.0,21.0,41.0,147.0,40.0,0.0,2.0,8.0,35.0,66.0,97.0,38.0,48.75,44.121989982320606,146935.0,5193.0,7986.0,473.0,29.0,89.0,9.0,24,ketch,1.0
463865188003,114.0,32.0,96.0,136.0,33.0,87.0,58.0,8.0,103.0,76.0,44.0,17.0,67.0,41.07642544419764,456780.0,15942.0,23169.0,1308.0,40.0,113.0,48.0,24,ivoc,2.0
469126877004,28.0,2.0,9.0,5.0,2.0,1.0,5.0,5.0,2.0,4.0,1.0,0.0,5.333333333333333,7.559862111937965,26924.0,1507.0,2283.0,104.0,13.0,27.0,35.0,24,arrow-sports,2.0
441294289004,52.0,33.0,11.0,9.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,9.5,16.362373688657545,272298.0,10618.0,16242.0,728.0,20.0,51.0,0.0,24,lee-cooper,2.0
441146293011,169.0,16.0,76.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.333333333333332,51.019307100054746,2924190.0,70615.0,110844.0,4514.0,27.0,168.0,0.0,24,netplay,2.0
420372035002,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.392304845413264,129406.0,2204.0,2838.0,157.0,8.0,31.0,88.0,24,ace-mode,1.0
469191736004,17.0,8.0,7.0,3.0,8.0,18.0,12.0,10.0,0.0,0.0,0.0,0.0,6.916666666666667,6.529072512906246,137425.0,4439.0,6189.0,287.0,2.0,17.0,80.0,24,u-s-polo-assn-,3.0
469060821001,85.0,56.0,118.0,97.0,117.0,0.0,0.0,0.0,1.0,5.0,20.0,71.0,47.5,48.40642331531858,143087.0,6199.0,11160.0,589.0,46.0,82.0,1.0,24,ketch,1.0
441294285005,31.0,7.0,28.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.5,11.057699908784253,128879.0,9393.0,14511.0,594.0,6.0,31.0,0.0,24,lee-cooper,2.0
463593941006,31.0,12.0,25.0,17.0,9.0,4.0,49.0,19.0,21.0,24.0,0.0,0.0,17.583333333333332,14.093572573296946,109658.0,2833.0,7796.0,410.0,8.0,30.0,156.0,24,instafab-plus,2.0
441145507037,21.0,13.0,10.0,13.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.166666666666667,7.209001107622121,241858.0,4551.0,11513.0,439.0,5.0,21.0,7139.0,24,netplay,2.0
441539373004,11.0,12.0,51.0,58.0,54.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.833333333333332,23.358211845217536,65782.0,7875.0,18443.0,391.0,3.0,11.0,0.0,24,gap,4.0
465743594005,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,12.390123143663724,609463.0,10607.0,13456.0,425.0,14.0,42.0,83.0,24,the-bear-house,2.0
465779348006,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0150945537631872,37667.0,1552.0,2323.0,101.0,3.0,6.0,16.0,24,evoq,2.0
441147150016,33.0,160.0,90.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,24.416666666666668,50.149700141101775,112622.0,6372.0,9472.0,240.0,12.0,32.0,13.0,24,john-players,1.0
