productsku,sales_0,sales_1,sales_2,sales_3,sales_4,sales_5,sales_6,sales_7,sales_8,sales_9,sales_10,sales_11,avgSales,stddevSales,totalPLPViewsProductLevel,totalPLPClicksProductLevel,totalPDPCountProductLevel,totalATCProductLevel,totalReturns,totalUsers,totalAvailableQuantity,yQuantity,brandname,pricebucket
463292672004,2581.0,1017.0,764.0,229.0,191.0,452.0,56.0,275.0,15.0,37.0,73.0,306.0,499.6666666666667,723.3816210666191,9728752.0,319075.0,502389.0,35018.0,445.0,2485.0,358.0,2515,the-bear-house,2.0
463292672001,2027.0,899.0,797.0,207.0,173.0,447.0,38.0,259.0,16.0,25.0,58.0,305.0,437.5833333333333,579.4018009720862,9728752.0,319075.0,502389.0,35018.0,355.0,1949.0,354.0,2419,the-bear-house,2.0
462323964023,2609.0,951.0,1261.0,894.0,824.0,1630.0,2062.0,1436.0,1288.0,1722.0,1299.0,1166.0,1428.5,516.4822447005406,15050716.0,230661.0,434002.0,27828.0,788.0,2457.0,4445.0,1958,dennislingo-premium-attire,2.0
462323964051,2512.0,844.0,1152.0,918.0,785.0,1641.0,1942.0,1245.0,1293.0,1695.0,1400.0,1104.0,1377.5833333333333,502.14656649470805,15050716.0,230661.0,434002.0,27828.0,738.0,2367.0,3477.0,1933,dennislingo-premium-attire,2.0
464731117002,704.0,315.0,212.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.41666666666667,215.64805432308756,2233184.0,93908.0,130637.0,7818.0,213.0,684.0,368.0,1809,tistabene,1.0
464731117003,635.0,371.0,234.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.91666666666667,203.56480242880588,2233184.0,93908.0,130637.0,7818.0,190.0,622.0,394.0,1683,tistabene,1.0
463292672005,987.0,396.0,440.0,100.0,96.0,240.0,27.0,162.0,9.0,18.0,31.0,187.0,224.41666666666666,279.66780889715096,9728752.0,319075.0,502389.0,35018.0,192.0,956.0,448.0,1668,the-bear-house,2.0
462323964004,2751.0,1109.0,1419.0,1263.0,423.0,1242.0,1584.0,970.0,1195.0,1820.0,1364.0,1279.0,1368.25,551.8173487338328,16088189.0,282173.0,486661.0,31617.0,818.0,2670.0,3248.0,1649,dennislingo-premium-attire,2.0
463775643004,367.0,1218.0,220.0,18.0,7.0,83.0,305.0,4.0,1.0,5.0,2.0,48.0,189.83333333333334,348.6088804307077,1643299.0,85614.0,204058.0,7989.0,296.0,363.0,266.0,1629,campus-sutra,2.0
462323964002,2747.0,1166.0,1403.0,1207.0,424.0,1147.0,1494.0,989.0,1166.0,1774.0,1242.0,1127.0,1323.8333333333333,549.8159747230031,16088189.0,282173.0,486661.0,31617.0,852.0,2653.0,4074.0,1581,dennislingo-premium-attire,2.0
462152986001,3578.0,1260.0,1671.0,1319.0,970.0,3193.0,3631.0,1708.0,2083.0,1579.0,1963.0,540.0,1957.9166666666667,1006.1224810974542,23027525.0,518488.0,721821.0,63147.0,1202.0,3448.0,204.0,1517,dennislingo-premium-attire,2.0
463775643008,304.0,1188.0,211.0,13.0,7.0,85.0,294.0,2.0,1.0,1.0,4.0,45.0,179.58333333333334,338.0700460860235,1643299.0,85614.0,204058.0,7989.0,294.0,300.0,292.0,1485,campus-sutra,2.0
462323964078,2422.0,901.0,1020.0,867.0,690.0,1739.0,2179.0,1941.0,1500.0,1460.0,1422.0,1376.0,1459.75,540.398527183243,14361539.0,237096.0,423458.0,28672.0,735.0,2321.0,2858.0,1423,dennislingo-premium-attire,2.0
462323964087,1534.0,573.0,761.0,543.0,491.0,1005.0,1068.0,910.0,892.0,1134.0,886.0,764.0,880.0833333333334,290.92906299812967,15050716.0,230661.0,434002.0,27828.0,547.0,1435.0,3004.0,1375,dennislingo-premium-attire,2.0
462152986003,3706.0,1257.0,1755.0,1471.0,990.0,3052.0,3677.0,1378.0,2116.0,1417.0,1761.0,626.0,1933.8333333333333,1016.8656685515485,23027525.0,518488.0,721821.0,63147.0,1167.0,3569.0,119.0,1336,dennislingo-premium-attire,2.0
463292672002,1005.0,463.0,402.0,97.0,86.0,202.0,28.0,128.0,11.0,20.0,46.0,129.0,218.08333333333334,287.51741712723276,9728752.0,319075.0,502389.0,35018.0,198.0,968.0,245.0,1321,the-bear-house,2.0
462323964046,2332.0,881.0,960.0,957.0,443.0,1752.0,3050.0,1907.0,1768.0,2534.0,1963.0,1834.0,1698.4166666666667,763.080534095289,14196518.0,207895.0,362341.0,25541.0,637.0,2287.0,861.0,1298,dennislingo-premium-attire,2.0
462323964026,2300.0,790.0,970.0,727.0,606.0,1752.0,2251.0,1786.0,1379.0,1356.0,1452.0,1249.0,1384.8333333333333,561.862783852773,14361539.0,237096.0,423458.0,28672.0,677.0,2228.0,1500.0,1292,dennislingo-premium-attire,2.0
464176063002,1.0,3.0,18.0,49.0,221.0,1.0,1.0,0.0,1.0,4.0,17.0,49.0,30.416666666666668,62.65556397455615,2561.0,1139.0,1531.0,12.0,1.0,1.0,0.0,1240,the-bear-house,3.0
460552789002,199.0,376.0,653.0,249.0,180.0,262.0,701.0,478.0,164.0,653.0,391.0,332.0,386.5,194.03350226185168,306755.0,18888.0,43551.0,1896.0,90.0,192.0,845.0,1235,the-indian-garage-co,1.0
