item_code,brand,size,actual_price,selling_price,name,category,product_publishing_date,display_type,screen_resolution,screen_size_diagonal,warranty,tv_operating_system
491134805,Sony,OS,36900.0,26690.0,"Sony 80 cm (32 inch) Full HD LED Smart TV, 32R482B",LED Televisions,2023-01-19 22:06:13,Full HD,1920 x 1080 - HD,80 cm (32 inch),1 Year,
491134830,Panasonic,OS,38000.0,19990.0,"Panasonic Viera 81.28 cm (32 inch) LED Smart TV, TH-32AS610D",LED Televisions,2023-01-19 19:39:02,,,81.28 cm (32 inch),1 Year,
491134876,Panasonic,OS,28500.0,11250.0,"Panasonic Viera 81.28 cm (32 inch) LED TV, TH-32A405D",LED Televisions,2023-01-19 19:37:01,,,81.28 cm (32 inch),1 Year,
491161499,Sansui,OS,33990.0,14990.0,"Sansui 81 cm (32 inch) Full HD LED TV, Hard Rock SJX40FB-9XAF",LED Televisions,2023-01-19 18:55:14,,,81 cm (32 inch),1 Year,
491165910,Samsung,OS,13700.0,12500.0,"Samsung 60.96 cm (24 inch) HD LED TV, Series 4 UA24H4003AR",LED Televisions,2023-01-19 19:39:04,,,60.96 cm (24 inch),1 Year,
491173085,LG,OS,269900.0,199900.0,"LG 139.7 cm (55 inch) HD LED 3D Smart TV, 55EC930T",LED Televisions,2023-01-19 19:39:04,,,139.7 cm (55 inch),1 Year,
491189271,Samsung,OS,23900.0,13990.0,"Samsung 81.28 cm (32 inch) HD LED TV, Series 4 32FH4003",LED Televisions,2023-01-19 18:34:59,HD,1366 x 768 -HD,81.28 cm (32 inch),1 Year,
491189554,Samsung,OS,14600.0,8990.0,"Samsung 60.96 cm (24 inch) HD LED TV, Series 4 24J4100",LED Televisions,2021-08-04 21:09:32,,1366 x 768 -HD,60.96 cm (24 inch),1 Year,
491189570,Reconnect,OS,14990.0,9990.0,"Reconnect 71 cm (28 inch) HD LED TV, RELEG2801",LED Televisions,2023-01-19 18:48:50,,,71 cm (28 inch),2 Years,
491211534,LG,OS,209900.0,100752.0,"LG 139 cm (55 inch) Ultra HD LED 3D Smart TV, 55UF950T",LED Televisions,2023-01-19 19:39:04,,,139 cm (55 inch),1 Year,webOS
491211540,Samsung,OS,60000.0,59000.0,"Samsung 121.92 cm (48 inch) Full HD LED TV, DB48D",LED Televisions,2023-01-19 20:15:46,Full HD,1920 x 1080 - HD,121.92 cm (48 inch),1 Year,Linux
491211544,Sony,OS,69900.0,43890.0,"Sony Bravia 109.22 cm (43 inch) Full HD LED 3D Smart TV, W800C Series KDL-43W800C",LED Televisions,2023-01-19 19:39:03,,,109.22 cm (43 inch),1 Year,Android TV
491211552,Reconnect,OS,41990.0,24990.0,"Reconnect 121.9 cm (48 inch) Full HD LED TV, RELEG4801",LED Televisions,2021-08-04 21:18:53,,,121.9 cm (48 inch),2 Years,
491211572,Reconnect,OS,27990.0,8991.0,"Reconnect 99 cm (39 inch) HD LED TV, RELEG3902",LED Televisions,2023-01-19 17:20:21,,,99 cm (39 inch),2 Years,
